Candidate,Party,Votes
Muhammadu Buhari,All Progressives Congress,"15,424,921"
Goodluck Jonathan,People's Democratic Party,"12,853,162"
Adebayo Ayeni,African Peoples Alliance,"53,537"
Ganiyu Galadima,Allied Congress Party of Nigeria,"40,311"
Sam Eke,Citizens Popular Party,"36,300"
Rufus Salau,Alliance for Democracy,"30,673"
Mani Ahmad,African Democratic Congress,"29,666"
Allagoa Chinedu,Peoples Party of Nigeria,"24,475"
Martin Onovo,National Conscience Party,"24,455"
Tunde Anifowose-Kelani,Accord Alliance,"22,125"
Chekwas Okorie,United Progressive Party,"18,220"
Remi Sonaiya,KOWA Party,"13,076"
Godson Okoye,United Democratic Party,"9,208"
Ambrose Albert Owuru,Hope Party,"7,435"
Total,,"28,587,564"
,,
Valid votes,,"28,587,564"
Invalid/blank votes,,"844,519"
Total votes,,"29,432,083"
Registered voters/turnout,,"67,422,005"
,,
Source: https://web.archive.org/web/20170329051326/http://www.inecnigeria.org/wp-content/uploads/2015/04/summary-of-results.pdf,,
