,Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text
0,0,BarryDudor,,,61,17,704,14,I just say make i remind you to use your brain well Obi son is in Europe enjoying life while you are here shouting obidient Atiku grown up children are most likely to be in Dubai while you are here atikulating Tinubu son(Seyi) is fully on ground mobilising for his daddy @STinubu https://t.co/kbj43l2YZm
1,1,mobis101,"august,20","Kellen, Texas, USA",1156,167,2599,0,@renoomokri And you graduated with what ? Peter Obi is by far more educated than you &amp; Atiku put together.  He has always developed himself educationally studying in all the best schools in the world. CKC &amp; UNN was just his starting point. You are older than Rishi. So?
2,2,Aknloluwqmi,obanirin, 🇺🇸 ,356,405,10307,50,Dele Momodu should provide Hope of MKO Abiola’s manifesto that was copied by Tinubu. Atiku’s manifesto owner came out and no denial from Atiku. Dele should do the needful. Live issues only.
3,3,Alasela8,Proud to be a Black,"Port Harcourt, Nigeria",54,39,123,0,"@atiku Sympathy,or empathy, which ways?pass leaders, future failure"
4,4,NMoviesPlanetT1,N-Movies Planet Television is the home of everything entertainment. visit us @ https://t.co/DXX09Qlm7j,,916,53,563,0,"Since this one lies dried up, he's so obsessed with social media as though his precious lies were stolen on social media 😜

#lies #laimohammed #Enugu #Portable #SeyiTinubu #Wike #Atiku #FloodingInNigeria #socialmedia #Superman #kennethokonkwo #Diwali https://t.co/c8LG5TtNCm"
5,5,adoskol_w,"CEO ADOSKOL INVESTMENT,  ADOSKOL PETROLEUM & GIFTED KIDDIES INTERNATIONAL SCHOOLS. HUSBAND AND FATHER.",,335,465,14941,31,"Peter Obi is going to step down for Atiku some weeks close to election. That's the game plan. I said this sometimes ago but some people abused me here. The only reason why Obi hasn't step down is the fear of the mob, the man will step down soon. Watchout."
6,6,wizkidvoice,Everything @wizkidayo. @Manutd,🌟 STARBOY 🌹,439,841,55123,76,"I envy whoever goes on air to defend Peter Obi's candidacy.
Look at how easy it is for Kenneth Okonkwo to defend and sell Peter Obi's candidacy.
I pity @fkeyamo and @DanielBwala whenever they come on air to defend the indefensible BAT of no competence and Atiku."
7,7,kelvin_ugbem,Versatile and open to taking any opportunity life presents,,193,35,443,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
8,8,vawulence1515,,,90,27,916,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
9,9,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@AishaYesufu Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point.Preach this gospel.
@AJ_Ibekwem"
10,10,babanila,,"Jacksonville Beach, FL",1623,1725,14027,28,"@BwalaDaniel From your appointment, it was clear that Atiku has no eye for talents. 

You should take a 3months intensive  class from Ndi Kato @YarKafanchan on public relation.

Finally sir, you are due for adult education. It shows from beginning to the end of your tweet."
11,11,itz_joshogrin,someone from around the globe 🌎,"Abuja, Nigeria",3164,4098,91737,278,"Governor Nyesom Wike is a walking bullion van. That's one of the many reasons Atiku, the entire PDP &amp; Mikano boys can't let go.  If you know, you know.  😭"
12,12,MichaelObasman,,"Federal Capital Territory, Nig",141,57,2295,276,"Before 2023 general elections, both Atiku and Tinubu will make mistakes that will make them lose to @Peterobi. Do you know why I'm so sure? The way both of them are very desperate to get to aso rock either by hook or by crook they're bound to make mistakes that will cost them."
13,13,Teekonantia,"👑🇳🇬
Zixx Game House🎮 Wizkid🦅 Chelsea💙
@Bowenuniversity","Uyo, Nigeria",1362,1477,63462,1062,"Like Northern Nigeria, Southern Nigeria is extremely diverse &amp; multiethnic as well. So if you are expecting Restructuring from this man, then I’m sorry for you. Wike is so right, Atiku cannot be trusted. This is even worse than Buhari’s 97% Vs 5%. https://t.co/SBZJGipEUA"
14,14,insaynworld,"paucos servitus, plures servitutem tenent.",LeoVerse,4959,1877,104357,0,@BwalaDaniel Exactly what an Atiku spokesperson would say
15,15,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@AreaFada1 Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point.Preach this gospel.
@AJ_Ibekwem"
16,16,PI_Jay2prince,"Am jxt Me, Luv everytin buh hate Evil. Am d CEO/MD Of Businexminded and Jay2prince Technologies. Luv yall",Dubai,129,9,2868,0,@atiku @OfficialPDPNig @officialABAT @PeterObi And By the Grace Of God*
17,17,StephenPaulEOk1,Simple😊,"Lagos, Nigeria",562,56,660,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
18,18,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@SaharaReporters Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point.Preach this gospel.
@AJ_Ibekwem"
19,19,PI_Jay2prince,"Am jxt Me, Luv everytin buh hate Evil. Am d CEO/MD Of Businexminded and Jay2prince Technologies. Luv yall",Dubai,129,9,2868,0,@atiku @OfficialPDPNig Oga please answer this question first!! You Religious bigot!!! God will never allow you @atiku or Tinubu @officialABAT get the Presidency. Any the Grace Of God and with Our PVCs We will vote in Our desired Candidate @PeterObi come 2023. In Jesus Name Amen. https://t.co/vEXFSjKAiH
20,20,AmJimeta,Forcà Barca sc:am_jimeta,,514,192,2375,43,"Failure is not a Person, its an Event! Never say Never when Greatness is calling on You to Rise and Shine! You will Succeed 💕

Christ Jesus / Ikoyi / Abati / Atiku / Seyi Tinubu / Kenneth Okonkwo / Rivers #Cheating / Oba of Benin / Sabinus / Iran https://t.co/KmlOfL7l8A"
21,21,TheNigerianBar,A Nigerian Premium Law and politics News blog,"Abuja, Nigeria",691,7170,52617,0,"Omeh, Secondus Are Enemies Of Rivers State Working For Atiku- Wike https://t.co/sDmAEirEcl"
22,22,IdanesiVictoria,,Nigeria,136,47,264,0,@BwalaDaniel @PeterObi Is Peter Obi your job? Are you not supposed to be sellers Atiku? Na waa for all these kain lawyers we get now oo wey be women wrappers.
23,23,Le_Stylo,"...the African.
Not all RTs are validation, some are to help amplify your idiocy 😜","Africa is Home, Home is Africa",3173,3501,91345,0,"Obi, Atiku &amp; Kwankwaso coalition would have been highly formidable."
24,24,George_Digital1,Live and let’s live.,,54,22,461,47,"Nobody dey buy bad product 😂😂😂

Even demand and supply reject APC 🤣🤣🤣

Wike Atiku Rice Kano Ikorodu Abuja BVAS INEC Mr. Peter Obi https://t.co/aIg6xpJFfG"
25,25,Emmanue73767946,knowledge is power,,317,84,9346,198,"Dear Obidients,

Peter Obi is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.

Tinubu and Atiku have collected billions of naira as pension since leaving office. 

This is a big selling point. Preach this gospel

Arise TV Rufai"
26,26,OzyBundee,"I am a unique mixture of being laid back but i am extremely focused at the same time, but can be very social and the life of the party as well",South Africa,2319,1793,31792,165,"I entirely agree with Edo State Governor Godwin Obaseki. 
No right-thinking person will vote in the APC and Tinubu 
What he failed to add is, “No reasonable Nigerian will vote in PDP&amp;Atiku.”

__
Rufai Abati Peter Obi Go and Verify Nnamdi Kanu Kenneth Okonkwo"
27,27,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@SaharaReporters Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
28,28,damilolami,,,154,16,370,0,"Tinubu and Atiku finally but partially heeded Obi’s call to empathize with the victims of the heavy flood affecting the nation currently and Buhari jets out to South Korea!
Definitely, you can’t buy empathy!
#Nigerians vote wisely!!!"
29,29,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@thecableng @IAOkowa @OvieOmoAgege @OfficialPDPNig @OfficialAPCNg Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
30,30,rusev158,Die Hard United Fan#manutd#premierleague#obidient movement#takingbacknaija#obidientcampaign#fullobidientmovement,"Little Canada, MN",800,261,60209,151,"Governor Nyesom Wike reveals why he’s not campaigning for Atiku Abubakar.

Take a listen to him. https://t.co/tPuhFXOFoX"
31,31,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@YunusaTanko Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
32,32,Thelmmss,▪️Law student ▪️🇳🇬,,220,114,296,2,"I will not campaign for Atiku!
- Wike https://t.co/7cpRsj6KEy"
33,33,_fenuel,It's all started with a Big Cry 😁,,1226,283,5729,712,Please don't vote Atiku or Tinubu if you want these to stop.... A Nigeria with new thinking is not possible with the duo. https://t.co/4fQsYc1rhc
34,34,daclemx,"The ""Neck Presser"" Is Back!!!! Youths, Vote Wisely 2023. Vote Peter Obi for President. If you make wrong choice, Dollar will be #2K/$1. Abi suffer neva tire U?",Earth,856,554,9121,0,"See what someone said about Chigozirim Aliyu's family. He's an APC DOG. 

#Vote HE Peter Obi Obaseki Horny of Ife Olosho Abati Rufai Bola Tinubu Seyi Tinubu Atiku Northerners Arewa Muslim Muslim President Buhari Flood INEC PVCs Edo State Oba of Benin Seun MarryHer Jesus Christ https://t.co/iXrINWSUDy https://t.co/3HnJ0ynCgv"
35,35,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@channelstv Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
36,36,AJ1202020,,"Istanbul, Turkey",53,45,7787,100,"If you believe Atiku Abubakar will emerge as the next President of Nigeria Retweet let's follow you quickly and follow back

✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼"
