,Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text
0,0,OzyBundee,"I am a unique mixture of being laid back but i am extremely focused at the same time, but can be very social and the life of the party as well",South Africa,2319,1793,31755,2334,"Peter Obi know the size of River Niger, River Benue and River Nile.

He was fact checked right on TV by Rufai, and he was correct.
Does your President Buhari know these things?

Who else is seeing a President who is ready?"
1,1,AjikeOmoJesu,"wholeheartedly Obidient and absolutely Yusful
Nigeria must work now.",Nigeria,86,39,2247,139,Where are Agbado and Mikano boys this evening? They disappeared after Peter Obi’s interview on Arise TV. I guess they are fact checking Peter Obi for their propaganda. Peter Obi no be una mate. Make una rest. #PeterObi4President2023
2,2,VICTORYCHIMEZI3,For the Amazing Love of GOD constrains me,,1052,86,85,663,"I will be Commander-in-Chief and I will deal with insecurity decisively - Peter Obi 

Labour Party's presidential candidate, Peter Obi outlines his security ambitions for Nigeria, stating that he would not tolerate mediocrity but fire any person who is not up to the challenge. https://t.co/EAXgKic92z"
3,3,goreehollar1,"CEO of GREY CHEMICALS & FUMIGATION SERVICES 
#30BG for life😈❤️
Dm for Ads||Brand Influencer||🇳🇬 4k??",,906,3245,67173,461,"According to Steve of Arise News TV, lots of Nigeria’s retired army gens, policemen, &amp; women are very Obidient. 

With the way our movement is spreading like wildfire, d entire country will have become very Obidient by the time we get to February 25th, 2023.

Peter Obi is better!"
4,4,Pius55739256,"I want to do it again and again, as long as I will not give up","Federal Capital Territory, Nig",336,112,3418,819,"When you listen to Peter Obi, you won’t need anyone to translate or interpret what he says. He does not communicate in parables &amp; disjointed grammar. Laymen can understand his messages &amp; signaling. Unlike Tinubu who no one has understood his vibration &amp; entish grammar till date."
5,5,Lexxi_MD,Daily dose of Redpill,Nigeria,317,210,3618,367,Peter Obi is the only person to answer Reuben Abati’s questions and he was jotting salient points. Reuben don see Wetin pass “I’m the Unifier” 😂😂😂
6,6,AbuguHyginus1,,,49,11,67,1894,"This brought tears to my eyes. I think Peter Obi’s decision about this issue goes a long way to show the kind of heart he has. 

#PeterObi4President2023 Kenneth Okonkwo #AbujaTwitterCommunity Arise TV #davido Yansh #Cheating Crocs Tank Nengi https://t.co/i5c5dgzO9s"
7,7,Bossman27276812,God is God and Nothing is Impossible before HIM! 🙌,,1229,119,9342,103,"Fuel subsidy is an organised crime. Pakistan consumes 22M litres a day while Nigeria with similar population consumes 66M litres a day. ~Peter Obi

If you like vote nonsense and rubbish 2023"
8,8,Psalmuel220,@ChelseaFC,9JA,2418,2461,72381,2334,"Peter Obi know the size of River Niger, River Benue and River Nile.

He was fact checked right on TV by Rufai, and he was correct.
Does your President Buhari know these things?

Who else is seeing a President who is ready?"
9,9,BIGGESTB4GOD,Obidient and Yusful,Nigeria,2533,3368,75953,1251,"Rufai: will you be attending the NESG presidential debates on November 15th?

Peter Obi: Of course I'll attend ANY DEBATE.

Can your candidate be brave enough to say this?
Oh well…🤣🤣🤣"
