,Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text
0,0,Jagunbaba,"Cool and nice fellow! Engineer, husband, father, son. Everything Jesus💯 @Chelseafc for life❗#ChampionsOfEurope","London, England",8084,9913,27247,80,"If endsars wasn't particularly to end Tinubu and Lagos why was it only TVC burned out of 6 TV stations in Lagos, why burned BRT, court and malls. Gbogbo omo yoruba to lowo ninu bi won se da ina sun dukia eko, ę ni jere, falz, macaroni &amp; odas alę yin ko ni yę yin"
1,1,tae_ajet,Taciturn: The king of Poindexter•,World,204,199,2554,0,@OladapoSam01 @DeleFarotimi @toyinsubi @ezepeit @Nwoke1_ @ChidiNwobodo1 @Karovoni Is this the reason for your headache? Well go and get ur pvc. Stop the envy. Tinubu is our next president. I dont mean twitter president o.
2,2,oat_tracy,Have you thanked God today?🙃,Home,1644,1701,145143,131,"Why care about your personal income when you can spend directly from the Lagos government's purse?

With Federal Power also comes the power to print naira notes and in Tinubu's opinion. Why not just print as much as you need and spend as much as you want?"
3,3,Jagaban_Olu,"Political scientist, football enthusiast and lover of good music","Lagos, Nigeria",200,53,2060,32,"Obidients don't need to hate Seyi Tinubu for organizing a massive youth rally for his dad. They should pressure Oseloka Obi to emulate him in Anambra next week Monday, since it's work-free!"
4,4,thebardogbamola,"Scriptwriter.
Technical and copywriting.
PR.
Public Speaker.
A believer in truth and justice.
Creative consultant.
Truthful yoot!",Somewhere in Nigeria. ,5160,36806,189006,4,"Tinubu &amp; his group of thieves are so desperate to get into Aso Rock that they are going to take their thuggery &amp; intimidation to the next level.

The violence we have started seeing is likely to escalate &amp; I suspect that the police are going to look the other way!

We need a plan"
5,5,omalubasildom90,"Based on what's more important.
Self acclaimed goals #Ideologist #BarcaFC","Lagos, Nigeria",369,52,270,551,"This actually brought tears to my eyes mehn!Take a look at the party people are coming to defend.The day we wake up will be the beginning of greatness in our lives!Guys just look at the evil people, people are defending. Ah!

Seyi tinubu bode George Ikpeazu flood Nathaniel bassey https://t.co/hyFB4CUL8z"
6,6,Aries_szn_,"Neuken in de kueken.
frontend developer...

♈👨🏾‍💻⚽🎵♠ 🦅YNWA TECH anime | my portfolio: https://t.co/y6mhLI25DK",planet earth ❤️,2980,3027,69375,626,"If you know the amount of attacks, insults, &amp; threats Obi influencers receive from Tinubu supporters everyday, you won’t ever call Obi supporters hotheads. Agbado people create more than 500 troll accounts everyday for their nefarious activities. You block 100, 300 pops up."
7,7,MichaelObasman,,"Federal Capital Territory, Nig",141,57,2293,849,"I'm guessing Seyi tinubu must be well rested after an exhausting rally... kindly ask him who gave the order to turn off the light at the lekki toll gate on 20-10-20.

If he can’t answer truthfully, do not mix his name with Peter Obi's son. 

That's one heat you don't want."
8,8,ObinnaOragudosi,Do unto others as you’ll like them to do unto you,,4073,1353,9823,0,@Oforkansi10 @GazetteNGR Tinubu is a cheap liar
9,9,taiwooloko,,,2395,467,3357,298,"Imagine if Tinubu says ""I DON'T HAVE A MANIFESTO...."" Ezkwesili and the other woman would have taken over Unity Square and ipob would have extended its sit at home till Wednesday."
10,10,ForumIlf,Idoma socioculture and sociopolitics, Ol'Idoma,85,12,197,1099,The guys in this video say Seyi Tinubu instructed thugs to attack them while they were pasting posters of the PDP candidate in Lagos. They say he had initially instructed a policeman to shoot them. https://t.co/wWjwm7nh1b
11,11,Uchenna03108301,Intelligent,Lagos,819,75,979,270,"- Do you want peter obi to win?
- What are you doing to make him win?
- Do you even broadcast his videos on WhatsApp &amp; Facebook?
- Do you remind your people to get their PVCs? 

Omo! You have a role to play.

Rufai peter obi reuben abati Kenneth okonkwo Go and verify seyi tinubu https://t.co/eT2crR6dj7"
12,12,wizkidvoice,Everything @wizkidayo. @Manutd,🌟 STARBOY 🌹,439,841,55123,208,"Peter Obi is reawakening the humanity in Nigerians. We all are taking the flooding and other disasters serious. What a man

Cash out. Nigeria. Nathaniel Bassey. Ronaldo. Bode George. Kano. Dubai. Seyi Tinubu. South east. Iwobi. Ikpeazu. Osimhen. https://t.co/x977wabqGt"
13,13,itz_joshogrin,someone from around the globe 🌎,"Abuja, Nigeria",3164,4098,91735,51,"3 politicians I love to listen to...

Nyesom Wike when I want to laugh

Peter Obi when I want to be enlightened

Tinubu when I want to sleep"
14,14,ForumIlf,Idoma socioculture and sociopolitics, Ol'Idoma,85,12,197,90,"An over 70yrs old man contesting to be President will go for medicals in a country governed by a 42yrs old who had contributed immensely to the growth his country. What can such man preach to the youths in his country? 🤔 🙄 😳 

Seyi Tinubu Kano Bashir Ahmed Reuben Abati
Obaseki"
15,15,ForumIlf,Idoma socioculture and sociopolitics, Ol'Idoma,85,12,197,1657,"People are saying Peter Obi’s son should come and campaign for his father just like Seyi Tinubu is doing for his father. Its so funny because who are Obidients? We are Peter Obi’s children. We’ve been marching for our Father since June. Tinubu has a son, Peter Obi has a battalion"
16,16,kelvin_ugbem,Versatile and open to taking any opportunity life presents,,193,35,443,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
17,17,Ollawaski,Pan-Africanist//Non-conformist//Military Enthusiast//Tweet ≠ Advice//RT ≠ Endorsement,🇳🇬 🇬🇧 ,1051,1304,14520,638,"This is one of the hottest interrogations for Peter Obi.

I put it to you if Bola Tinubu make himself available for Rufai and Abati on Arise TV, that day will be the end of his presidential ambitions 

😂😂😂😂😂😂😂"
18,18,ChukwuraChiweta,,,361,335,42460,1,Just Imagine commercial drivers stop paying any fees to a so called NURTW association.... Now imagine how they've made themselves rich from other people's hardworking... Tinubu is a evil man.
19,19,MigrateGGRLtd,"US Immigration Lawyer, with over 25 years of practice experience. Offices in Silver Spring, Maryland and Lagos, Nigeria",,563,275,2468,68,Someone shamelessly tweeted this few days ago claiming it was recent when Tinubu visited Kano. https://t.co/cnLqP2XdK7
20,20,Aries_szn_,"Neuken in de kueken.
frontend developer...

♈👨🏾‍💻⚽🎵♠ 🦅YNWA TECH anime | my portfolio: https://t.co/y6mhLI25DK",planet earth ❤️,2980,3027,69375,1943,"Banking halls in Nigeria became football viewing centers on a Monday morning, bcos Peter Obi was on Arise TV. No one cares about what Tinubu is saying. Listening to Jagaban regurgitate the nonsense that comes out of his mouth, is punishment. If u like, don’t vote for sense"
21,21,PentarioDLaw,"I'll remain a #RomanCatholic till I Die.. 

add me on:
IG: @pentalawrencerio
#OmoIjebu
#Iloti
#FCBarca.","Ibadan, Nigeria",1110,671,9267,2,"Finally, a proper, new olympic sport. Big deal. I can do that except for the running, tumbling &amp; clearing the bar part😂

""Seyi Tinubu"" Abuja ""Arise TV"" ""Nathaniel Bassey"" Enugu Kano Ooni ""South East"" Kaduna Ikpeazu Rufai Toothache ""South Korea"" Africa Bashir Ortom Dubai Tunde https://t.co/Tfg1HH1NmE"
